price,bedrooms,bathrooms,addr,lat,lng
"5,600",5,2,285 Saint Nicholas Ave #54,40.8105141,-73.9532656
"2,250",1,1,315 E 84th St #26,40.776387,-73.951688
"17,000",5,4,322 W 71st St,40.779304,-73.985994
"6,500",5,2,964 Amsterdam Ave #2D,40.8015006,-73.9653365
"3,095",1,1,620 W 143rd St #8E,,
"4,670",1,1,505 W 29th St #26387,40.7518109,-74.0018238
"2,075",1,1,259 E 10th St #16,40.7285899,-73.983414
"2,295",1,1,35 Bedford St #3,42.503992,-71.2032
"4,033",1,1,67 Wall St #9K,40.7055787,-74.0083779
"4,200",2,1,175 W 93rd St #4I,40.7921631,-73.9713327
"3,395",1,1,20 Beaver St #2F,40.7048362,-74.0123006
"5,000",2,1,237 E 34th St #2101,,
"1,850",1,1,304 E 41st St #608A,40.7487026,-73.9721756
"5,300",3,1,334 E 55th St #15,40.7573593,-73.9649534
"3,250",1,1,117 W 69th St #3-B,40.775959,-73.980762
"3,100",1,1,43 W 85th St #1B,40.7853822,-73.9711241
"2,929",2,1,406 W 39th St #2,40.7566172,-73.9946332
"15,000",2,2,63 Greene St #5A,40.723125,-74.001185
"1,775",1,1,1155 3rd Ave #11,32.6118874,-117.0679588
"2,700",1,1,2109 Broadway #354,40.7802499,-73.982109
"2,500",1,1,245 E 39th St #2D,40.748342,-73.974012
"2,250",1,1,239 E 77th St #1D,40.7725737,-73.9568228
"3,220",1,1,377 Rector Pl #2J,40.709749,-74.0178506
"2,450",1,1,E 10th St and Loisada Ave,40.7258816,-73.9775455
"3,095",1,1,400 W 56th St #4F,,
"7,820",1,2,160 Central Park S #720,40.7662166,-73.9785754
"2,750",1,1,45 Tudor City Pl #1715,,
"3,250",1,1,23 E 10th St #1G,39.7811503,-86.1568439
"2,750",1,1,620 W 143rd St #1B,40.825515,-73.952783
"9,600",2,2,33 W 56th St #5B,,
"3,500",1,1,150 E 61st St #2A,40.7632018,-73.9669387
"15,500",2,2,77 White St #2,41.3974866,-73.4514493
"4,650",3,1,226 E 53rd St #4C,40.7570686,-73.9684187
"17,000",2,2,50 Gramercy Park N #12B,40.738624,-73.98606
"7,850",2,2,280 Park Ave S #23J,46.9202635,-95.0583951
"3,600",1,1,82 Christopher St #3A,40.7333617,-74.0036267
"6,200",1,1,54 W 9th St #4,39.8514177,-75.3644868
"3,195",2,2,E 102nd St and 1st Ave,40.7870698,-73.9419167
"3,395",1,1,900 W End Ave #4EE,40.8003403,-73.9690168
"3,250",1,1,3 Sheridan Sq #4M,40.7328654,-74.0026261
"2,370",2,1,622 E 11th St #17,40.7269024,-73.9786516
"2,100",2,1,215 W 145th St #12,40.8222878,-73.9399419
"3,095",1,1,E 80th St and York Ave,40.7720817,-73.9499415
"5,950",1,1,121 W 19th St #5D,40.741105,-73.995619
"2,350",1,1,5 Tudor City Pl #2003,40.7479794,-73.9708635
"2,425",1,1,220 E 74th St #1-B,40.7704766,-73.9588433
"3,300",1,1,530 E 76th St #12E,40.7685172,-73.950051
"3,695",2,1,244 W 72nd St #1E,40.7791774,-73.9836409
"3,995",1,1,3 W 36th St #20A,40.7501488,-73.9841443
"1,800",1,1,304 E 89th St #A1,40.7794067,-73.9498527
"3,350",2,1,309 E 5th St #6,31.4513658,-83.5069138
"3,100",1,1,620 W 143rd St #5A,40.825515,-73.952783
"7,250",2,2,220 E 72nd St #25F,40.7690254,-73.959718
"2,125",1,1,1570 2nd Ave #2E,40.7748937,-73.9535755
"2,625",1,1,125 Elizabeth St #1A,40.719489,-73.9956046
"2,100",1,1,149 W 95th St #1A,40.7930695,-73.9696286
"3,060",1,1,444 W 35th St #7C,40.7545023,-73.9975758
"3,195",1,1,22 W 77th St #26,40.7798313,-73.9750869
"5,550",1,1,55 W 25th St #32C,40.7443156,-73.991439
"3,750",1,1,219 E 69th St #8H,40.7674648,-73.9606638
"2,400",1,1,148 Sullivan St #4,40.7272468,-74.0020474
"3,900",2,1,275 E 7th St #1,40.6452355,-73.9727516
"2,975",1,1,30 E End Ave #3E,41.4915907,-87.6343145
"7,000",1,1,160 Central Park S #460,40.7662166,-73.9785754
"3,495",2,1,117 E 7th St #1B,30.2684564,-97.7417264
"3,500",1,1,349 E 52nd St #4F,40.7554801,-73.9656084
"2,950",3,2,529 W 151st St #4,40.8298669,-73.9462914
"1,650",1,1,609 W 186th St #52,40.8527998,-73.9319223
"11,300",1,1,160 Central Park S #2911,40.7662166,-73.9785754
"2,315",1,1,128 Saint Marks Pl #2B,40.7267272,-73.983675
"3,950",2,1,349 E 52nd St #4R,40.7554801,-73.9656084
"3,300",1,1,120 Greenwich St #8D,40.7090072,-74.0133887
"3,025",2,1,124 Mott St #27A,40.7182141,-73.996601
"2,950",1,1,711 Madison Ave #10,40.766076,-73.9692175
"3,895",1,1,1 Irving Pl #V7E,40.7348011,-73.9890846
"2,195",1,1,23 W 129th St #2,40.8096329,-73.9415207
"3,350",1,1,445 5th Ave #30G,40.751651,-73.981826
"7,450",2,2,40 E 78th St #3C,40.7752755,-73.962393
"2,750",1,1,5 Tudor City Pl #911,40.7479794,-73.9708635
"2,300",1,1,35 E 65th St #4C,40.7672608,-73.9680186
"3,960",1,1,50 Murray St #919,40.7139998,-74.009564
"2,683",2,1,815 W 180th St #11,40.8504112,-73.939862
"4,400",3,2,500 Cathedral Pkwy #6C,40.8029872,-73.9642544
"2,200",1,1,45 Tiemann Pl #2F,40.8156933,-73.959202
"4,570",1,1,50 Murray St #413,40.7139998,-74.009564
"4,850",1,1,53 Park Pl #2J,43.3018808,-73.5863346
"7,600",1,2,50 Murray St #306,40.7139998,-74.009564
"6,600",2,1,50 Murray St #1411,,
"4,000",1,1,53 Park Pl #5H,43.3018808,-73.5863346
"3,420",1,1,53 Park Pl #8H,43.3018808,-73.5863346
"9,500",1,2,160 Central Park S #1810,40.7662166,-73.9785754
"3,250",2,1,484 Lenox Ave,40.8133355,-73.9413239
"3,150",1,1,136 East Broadway #12A,40.7141282,-73.9915405
"3,615",3,2,420 E 80th St,40.7722944,-73.9510164
"7,900",2,2,50 Murray St #412,40.7139998,-74.009564
"4,765",1,1,500 W 56th St,40.7683005,-73.9896982
"5,400",4,3,41 W 86th St,40.7862767,-73.9710215
"9,500",2,2,205 E 59th St #19B,40.7615192,-73.9661253
"6,500",1,1,234 E 46th St,40.7525698,-73.9713885
"3,234",3,2,15 E 11th St,40.7339077,-73.9942229
"7,125",3,2,200 E 87th St,40.7792471,-73.9532219
"7,850",3,2,222 E 34th St,40.7449639,-73.9770407
"3,230",1,1,42 Bank St #65,-36.8900739,145.2267922
"8,495",3,3,145 W 67th St,40.77542,-73.9834397
"7,050",2,2,354 E 91st St,40.7800366,-73.9475076
"4,895",2,2,330 E 39th St,40.7472394,-73.9724247
"21,868",2,2,95 Wall St,40.7046867,-74.0074853
"7,975",2,2,808 Columbus Ave,40.7946584,-73.9666277
"6,205",2,2,282 11th Ave,40.7522422,-74.004166
"11,775",2,2,120 W 21st St,40.7418641,-73.9948848
"13,000",1,1,160 Central Park S #404,40.7662166,-73.9785754
"10,580",3,3,400 W 63rd St,40.774512,-73.9905232
"5,925",4,3,303 E 83rd St,40.77609,-73.9526678
"3,450",1,1,14 E 2nd St #PARLOR,35.6524998,-97.2918541
"2,700",2,1,112 Mulberry St #14,40.7174641,-73.9981185
"5,363",1,1,225 E 63rd St,40.7637687,-73.9634448
"2,925",2,1,1392 3rd Ave #1B,40.6549826,-74.0072837
"1,750",1,1,5025 Broadway #2E,40.86966,-73.9167447
"8,995",2,3,585 W End Ave #5A,40.7905379,-73.9771542
"2,100",1,1,339 E 58th St #4H,40.7595174,-73.9631435
"2,700",2,1,300 E 82nd St #4,40.7750727,-73.9534283
"3,950",1,1,57 Charles St #3R,,
"5,000",2,1,269 W 4th St #3,34.0494558,-118.2492737
"3,450",2,1,346 Lexington Ave #4F,40.7500156,-73.977387
"5,500",3,1,110 W 26th St #6R,40.7448937,-73.9921745
"2,000",1,1,526 E 6th St #8,34.041611,-118.244691
"8,495",2,2,14 Murray St #3,40.7132851,-74.0083872
"13,900",3,3,920 Park Ave #12C,,
"8,995",2,1,79-81 White St #6W,42.0951207,-72.5591838
"5,795",4,1,76 W 82nd St #3A,40.7835867,-73.9737406
"3,395",1,1,949 W End Ave #2EE,40.8021426,-73.9685592
"7,250",2,1,529 W 42nd St #1G,40.7605199,-73.9967901
"2,600",1,1,574 W End Ave #12B2,40.7898671,-73.9766957
"3,804",2,1,175 W 90th St #10B,40.7904254,-73.9726003
"3,000",1,1,302 E 12th St #8,40.7306589,-73.9855067
"2,075",1,1,139 E 110th St #42,40.7950778,-73.9445225
"2,300",1,1,63 W 69th St #4A,40.7754417,-73.9796201
"2,185",1,1,310 2nd Ave #2,40.7348375,-73.9828207
"2,395",2,1,23 E 109th St #3E,40.7957818,-73.9484134
"3,150",1,1,162 W 13th St #34,40.7375695,-73.9999
"3,200",1,1,69 5th Ave #3D,40.7361441,-73.9931636
"1,950",1,1,536 E 82nd St #5A,40.7725267,-73.9475975
"4,925",1,1,505 W 29th St #26419,40.7518109,-74.0018238
"6,110",2,2,505 W 29th St #26106,40.7518109,-74.0018238
"5,495",3,2,154 E 28th St #E,40.7420634,-73.9814677
"5,115",1,1,400 Chambers St #25418,40.7177114,-74.0150499
"3,795",2,1,151 E 33rd St #2R,,
"2,500",1,1,114 W 76th St #3F,,
"3,395",2,1,165 W 83rd St #5,40.7855743,-73.9755193
"4,200",2,1,108 1st Ave #4,,
"3,965",1,1,260 W 54th St #36F,40.7643339,-73.9841366
"6,000",3,1,81 Sullivan St #10,40.724733,-74.0035996
"3,425",2,1,525 W 49th St #2E,40.7646883,-73.9935504
"2,600",1,4,225 Central Park W #613,40.7830184,-73.9714062
"7,500",2,2,625 W 57th St #529,40.7714779,-73.9930128
"2,250",1,1,91 Clinton St #2,40.7186696,-73.9855387
"4,200",2,1,115 E 37th St #4,40.7487511,-73.9789284
"2,788",1,1,440 E 85th St,40.775348,-73.9483918
"7,534",2,2,535 W 43rd St,40.761198,-73.9966464
"1,975",1,1,171 E 77th St #4A,40.7734438,-73.958828
"4,500",3,2,204 W 108th St #67,40.801855,-73.9655231
"4,000",3,1,127 W 106th St #5B,40.799953,-73.9638627
"2,800",1,1,170 W 74th St #712,40.779647,-73.9803455
"6,250",5,2,8 W 108th St #41-10,40.799451,-73.959924
"3,150",3,1,3139 Broadway #18,40.8140906,-73.9598469
"3,200",1,1,200 E 87th St #15A,40.7792471,-73.9532219
"4,500",2,1,50 E 86th St #3A,40.780512,-73.9586967
"75,000",2,2,795 5th Ave #21,40.7652672,-73.9719652
"3,500",3,2,184 Claremont Ave #100,40.8145633,-73.9600811
"2,875",3,2,2085 Lexington Ave #1EE,,
"3,495",1,1,255 W 14th St,40.7397346,-74.0018431
"7,500",6,2,106 W 105th St #4,40.7986413,-73.9640667
"6,500",2,2,845 United Nations Plz #37E,40.7623737,-73.9739119
"4,938",1,1,100 W 31st St #31K,40.747661,-73.9898898
"9,000",2,2,450 W 17th St #1007,40.7436578,-74.0063783
"3,400",4,2,1781 Riverside Dr #6I,40.8670594,-73.9305846
"6,000",2,1,100 W 31st St #25B,40.747661,-73.9898898
"4,384",1,1,100 W 31st St #24H,40.747661,-73.9898898
"3,110",3,1,1689 1st Ave #5,40.7780116,-73.9489095
"1,200",4,2,5th Ave and Washington Mews,40.7318599,-73.9966598
"2,500",2,1,528 E 83rd St #3A,,
"15,250",3,3,50 West St #11C,40.7080103,-74.0149843
"27,000",3,3,1 Central Park W #27D,40.7691199,-73.9815582
"3,863",1,1,67 Wall St #7M,40.7055787,-74.0083779
"4,071",1,1,67 Wall St #17N,40.7055787,-74.0083779
"2,200",1,1,157 E 32nd St #7C,40.7449782,-73.9794926
"6,800",2,2,372 Central Park W #7D,,
"7,695",2,2,30 W 63rd St #21C,40.7707681,-73.9817311
"4,560",2,2,355 S End Ave #6N,40.7105081,-74.0166218
"6,424",2,2,225 E 39th St #8D,40.7484651,-73.9746573
"3,600",1,1,21 W 86th St #9H,,
"4,750",3,2,279 E 44th St #3J,40.7513467,-73.9714666
"3,150",1,1,63 Wall St #1816,40.7056004,-74.0087796
"3,163",1,1,63 Wall St #910,40.7056004,-74.0087796
"2,895",2,1,308 E 78th St #26,40.772189,-73.9550639
"5,888",2,2,315 W 33rd St #35I,40.7520318,-73.9946208
"4,440",2,1,120 W 97th St #5D,40.7939174,-73.9683962
"5,844",3,2,160 W 97th St #9C,40.7942252,-73.969092
"8,600",2,2,75 Wall St #L6,40.7051405,-74.0079954
"5,689",2,2,315 W 33rd St #22K,40.7520318,-73.9946208
"7,996",3,1,400 E 58th St #PHC,40.7586572,-73.962228
"3,450",1,1,240 E 47th St #6E,40.7529077,-73.9703635
"3,250",1,1,329 E 13th St #1B,40.7312593,-73.9839767
"22,000",2,2,157 W 57th St #43B,40.7655589,-73.9789918
"15,900",3,2,60 W 23rd St #21C,40.7423606,-73.9923849
"4,438",2,1,63 Wall St #1104,40.7056004,-74.0087796
"3,373",1,1,210 W 70th St #1506,40.7775064,-73.9835571
"9,250",2,2,1 W End Ave #17F,40.7714442,-73.9894047
"4,850",2,2,401 W End Ave #2B,40.7846962,-73.9812789
"3,700",1,1,308 W 30th St #10C,40.7497916,-73.9961189
"3,365",1,1,355 S End Ave #7B,40.7105081,-74.0166218
"4,000",3,1,1509 Lexington Ave #2-B,40.7867285,-73.9500062
"3,295",2,1,122 Orchard St #15R,40.7194506,-73.9893009
"3,275",1,1,375 S End Ave #3K,40.7836037,-73.9820413
"5,810",1,1,100 W 31st St #45J,40.747661,-73.9898898
"10,350",3,3,200 N End Ave #8A,42.851812,-70.817716
